horizon,timestep,n_hidden,mae,mse,mape
3,3,16,28.3945218856,1976.13805015,59.5833790069
6,3,16,41.1601270989,3736.90284121,103.861638209
12,3,16,53.2702819674,5684.33152814,157.141875099
24,3,16,61.0047013327,7109.87301281,193.511082597
3,3,32,27.0891039789,1832.45749155,62.6976435815
6,3,32,40.117096253,3537.09477543,103.806726951
12,3,32,54.2055414565,5833.25695021,162.143434852
24,3,32,60.8320565989,7077.35027097,194.357324571
3,3,64,28.1223561236,1852.86218567,67.872033099
6,3,64,40.27649928,3518.5000933,110.02652688
12,3,64,53.0120339246,5731.3549033,148.531086662
24,3,64,61.6791753195,7312.90699129,193.715670731
3,3,128,31.2496689519,2232.75850076,81.6146548142
6,3,128,43.7739171472,3908.76183017,125.782877181
12,3,128,54.3856197499,5729.22472023,172.646929692
24,3,128,60.9386721192,7361.74115109,178.673147857
3,3,256,80.1180487935,11472.6933137,161.600846343
6,3,256,49.5435332548,5414.56791177,104.414063463
12,3,256,67.1889635841,8883.74145193,201.003524422
24,3,256,63.9507625814,8309.32213982,178.25717353
3,5,16,28.24065003,1905.2372083,71.6568395659
6,5,16,41.5540561824,3695.1090885,112.666687963
12,5,16,52.4572373291,5604.87268725,152.77556946
24,5,16,61.7281278799,7169.10360741,202.996307574
3,5,32,27.7535263948,1826.36452858,66.2210894109
6,5,32,41.4666304249,3521.83205735,127.052116791
12,5,32,53.1888819059,5624.4828919,160.410333749
24,5,32,61.4762909826,7154.59721971,197.893431037
3,5,64,26.1978344246,1752.30325521,59.2553591762
6,5,64,40.4955303246,3505.01177439,113.29147795
12,5,64,52.5298890768,5569.69835085,154.156321103
24,5,64,62.0285389962,7497.34205316,188.511090888
3,5,128,35.3378660649,2727.59613969,93.6053218742
6,5,128,42.0794138456,3770.21192388,109.700313521
12,5,128,55.9429587818,5981.66341823,174.351397407
24,5,128,62.977794659,7172.21729294,220.221353631
3,5,256,65.1003798959,8102.24391786,189.531609866
6,5,256,58.8496761405,6403.36502266,159.204229901
12,5,256,67.3658447122,8575.66028834,195.52255053
24,5,256,68.3856947283,8786.33536847,192.521646389
3,10,16,27.4405430896,1794.91145508,63.9939406556
6,10,16,41.6675004266,3615.31588765,120.395475302
12,10,16,53.7624281394,5687.44636678,161.653251743
24,10,16,61.6691576034,7202.57379658,200.705163906
3,10,32,26.4850007618,1782.49228903,54.3007540166
3,168,32,30.7234852177,2153.7434355,91.2120885407
1,168,16,18.8302553214,778.280272338,29.8522929713
3,168,16,27.275449321,1853.28839407,53.4692836046
6,168,16,40.6152020216,3663.43791966,103.978287771
12,168,16,53.2685102669,5531.30518598,175.054431688
24,168,16,61.539156608,7016.41172316,216.706944912
1,168,32,15.8313225492,634.495595303,36.6129898969
3,168,32,29.9643555061,1989.77798373,84.5015655818
6,168,32,41.1683435255,3571.85770679,125.870927203
12,168,32,51.591004574,5523.74033746,149.739406274
24,168,32,61.7601065118,7311.82112935,199.22997728
1,168,16,13.6793385362,555.211903327,25.3415040305
3,168,16,26.9050228702,1823.6439688,55.2588439086
6,168,16,39.702877601,3629.96296635,87.6997362098
12,168,16,52.1430346888,5475.83684522,160.794529141
24,168,16,61.0124481104,7274.94914019,192.264709428
1,168,32,14.6979261062,625.567286162,31.5142834604
3,168,32,27.1280684621,1839.94579966,59.3506318656
6,168,32,40.1908538009,3583.60942726,99.4448086913
12,168,32,53.8514374122,5940.13374655,154.346114874
24,168,32,62.8637949291,7271.16183846,217.861402561
1,168,16,17.8805562282,664.874646545,59.7337409904
3,168,16,29.0571717157,1900.81396644,75.4325139898
6,168,16,41.7691387219,3584.92507593,123.947196282
